"Identifier","Question","yes","no"
"guest1","Ist ein Leben ohne Digitalisierung, Medienkonsum und soziale Medien überhaupt noch möglich?","0","0"
"guest2","Bist du nach sozialen Medien süchtig?","0","0"
"guest3","Führt Digitalisierung zu einer ausgeprägteren emotionalen Intelligenz in der  Gesellschaft?","0","0"
"guest4","Hast du schon mal ein Fake Profil erstellt?","0","0"
"guest5","Sind Emotionen berechenbar?","0","0"
"guest6","Kann Digitalisierung zu mehr Nachhaltigkeit beitragen?","0","0"
"guest7","Ist der menschliche Verstand digitalisierbar?","0","0"
"guest8","Orientiert sich die Digitalisierung an den Bedürfnissen der Menschen?","0","0"
"guest9","Ist es möglich unsere Daten sicherer zu machen?","0","0"
"guest10","Hat Digitalisierung die Menschheit im Positiven verändert?","0","0"
